City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arraial do cabo,-22.9661,-42.0278,23.53,82,15,1.3,BR,2023-04-06
1,bagotville,-28.9833,153.4167,19.8,77,33,2.16,AU,2023-04-06
2,kaitangata,-46.2817,169.8464,8.85,78,44,3.63,NZ,2023-04-06
3,east london,-33.0153,27.9116,25.52,61,0,5.14,ZA,2023-04-06
4,bluff,-46.6,168.3333,9.86,53,75,5.63,NZ,2023-04-06
5,salinas,36.6777,-121.6555,7.82,82,0,2.57,US,2023-04-06
6,solginskiy,61.05,41.3428,-0.48,82,99,3.3,RU,2023-04-06
7,hermanus,-34.4187,19.2345,25.43,43,67,1.31,ZA,2023-04-06
8,alice springs,-23.7,133.8833,34.56,21,4,5.66,AU,2023-04-06
9,vaini,-21.2,-175.2,26.09,94,75,3.09,TO,2023-04-06
10,rikitea,-23.1203,-134.9692,25.3,72,7,4.37,PF,2023-04-06
11,pevek,69.7008,170.3133,-24.19,92,9,1.58,RU,2023-04-06
12,albany,42.6001,-73.9662,10.17,93,100,0.89,US,2023-04-06
13,geraldton,-28.7667,114.6,26.23,29,0,6.69,AU,2023-04-06
14,dikson,73.5069,80.5464,-24.31,92,100,6.64,RU,2023-04-06
15,nemuro,43.3236,145.575,5.17,95,100,10.21,JP,2023-04-06
16,batemans bay,-35.7167,150.1833,21.72,78,100,3.58,AU,2023-04-06
17,laguna,38.421,-121.4238,9.06,80,0,2.06,US,2023-04-06
18,hilo,19.7297,-155.09,20.9,85,40,2.06,US,2023-04-06
19,kupino,54.3663,77.2981,13.55,51,7,5.67,RU,2023-04-06
20,havoysund,70.9963,24.6622,5.13,83,100,4.64,NO,2023-04-06
21,killybegs,54.6333,-8.45,8.84,68,10,5.64,IE,2023-04-06
22,villa rica,33.7321,-84.9191,20.44,95,99,1.41,US,2023-04-06
23,luena,-11.7833,19.9167,23.1,73,100,6.17,AO,2023-04-06
24,upernavik,72.7868,-56.1549,-29.44,100,68,1.32,GL,2023-04-06
25,udachnyy,66.4167,112.4,-5.86,52,100,6.19,RU,2023-04-06
26,luanda,-8.8368,13.2343,29.0,74,75,3.09,AO,2023-04-06
27,monte patria,-30.6919,-70.9467,19.22,51,39,0.76,CL,2023-04-06
28,skjeberg,59.2333,11.2,3.08,84,100,4.45,NO,2023-04-06
29,cape town,-33.9258,18.4232,25.62,74,0,1.03,ZA,2023-04-06
30,dutlwe,-23.9833,23.9,26.23,35,0,5.39,BW,2023-04-06
31,georgetown,5.4112,100.3354,32.96,66,20,4.63,MY,2023-04-06
32,avarua,-21.2078,-159.775,24.03,83,23,2.06,CK,2023-04-06
33,kamakwie,9.5,-12.2333,28.77,46,84,1.62,SL,2023-04-06
34,janakkala,60.9,24.6,6.0,92,100,3.68,FI,2023-04-06
35,general roca,-39.0333,-67.5833,18.12,39,26,2.25,AR,2023-04-06
36,qaanaaq,77.484,-69.3632,-29.07,74,15,2.89,GL,2023-04-06
37,new norfolk,-42.7826,147.0587,16.72,91,100,1.28,AU,2023-04-06
38,klaksvik,62.2266,-6.589,7.51,95,100,1.7,FO,2023-04-06
39,esperance,-33.8667,121.9,18.23,68,36,5.99,AU,2023-04-06
40,butaritari,3.0707,172.7902,27.68,82,85,7.65,KI,2023-04-06
41,ilulissat,69.2167,-51.1,-15.99,60,4,3.6,GL,2023-04-06
42,busselton,-33.65,115.3333,21.54,55,78,5.56,AU,2023-04-06
43,asau,46.4333,26.4,-0.4,92,100,1.86,RO,2023-04-06
44,grand gaube,-20.0064,57.6608,30.22,70,20,5.03,MU,2023-04-06
45,samana,19.2056,-69.3369,22.51,85,8,4.48,DO,2023-04-06
46,yashkul,46.1711,45.3435,17.45,35,100,0.47,RU,2023-04-06
47,buala,-8.145,159.5921,27.31,78,100,1.1,SB,2023-04-06
48,matadi,-5.8167,13.45,29.62,74,97,1.49,CD,2023-04-06
49,sibiti,-3.6819,13.3499,25.82,78,100,1.3,CG,2023-04-06
50,palafrugell,41.9174,3.1631,13.53,40,100,0.45,ES,2023-04-06
51,hobart,-42.8794,147.3294,16.92,85,75,2.06,AU,2023-04-06
52,kavieng,-2.5744,150.7967,27.96,76,70,3.8,PG,2023-04-06
53,bengkulu,-3.8004,102.2655,28.58,68,25,3.35,ID,2023-04-06
54,katsuura,35.1333,140.3,18.22,76,49,11.17,JP,2023-04-06
55,katobu,-4.9408,122.5276,27.33,80,100,2.28,ID,2023-04-06
56,barrow,71.2906,-156.7887,-22.99,84,100,3.09,US,2023-04-06
57,tasiilaq,65.6145,-37.6368,-4.91,93,100,5.46,GL,2023-04-06
58,ushuaia,-54.8,-68.3,5.81,70,0,1.03,AR,2023-04-06
59,punta arenas,-53.15,-70.9167,3.06,70,20,4.63,CL,2023-04-06
60,cairns,-16.9167,145.7667,27.97,78,40,1.54,AU,2023-04-06
61,nikolskoye,59.7035,30.7861,1.94,95,100,2.81,RU,2023-04-06
62,kaeo,-35.1,173.7833,16.29,91,100,5.85,NZ,2023-04-06
63,olinda,-8.0089,-34.8553,26.85,74,40,3.09,BR,2023-04-06
64,shimanovsk,52.0,127.7,5.19,43,100,1.25,RU,2023-04-06
65,provideniya,64.3833,-173.3,-22.0,100,43,3.33,RU,2023-04-06
66,saint george,37.1041,-113.5841,4.41,43,0,4.63,US,2023-04-06
67,kyra,49.5776,111.9753,-1.12,33,100,8.14,RU,2023-04-06
68,tuktoyaktuk,69.4541,-133.0374,-14.55,96,100,3.75,CA,2023-04-06
69,wagar,16.1525,36.2032,33.64,15,88,6.7,SD,2023-04-06
70,santiago del estero,-27.7951,-64.2615,19.01,88,100,0.93,AR,2023-04-06
71,atuona,-9.8,-139.0333,27.26,71,9,7.99,PF,2023-04-06
72,saint-joseph,-21.3667,55.6167,29.21,79,95,3.51,RE,2023-04-06
73,port alfred,-33.5906,26.891,27.83,44,2,6.37,ZA,2023-04-06
74,gondanglegi,-7.7479,112.0132,27.57,81,100,4.69,ID,2023-04-06
75,saurimo,-9.6608,20.3916,24.37,65,98,2.04,AO,2023-04-06
76,yulara,-25.2406,130.9889,29.4,22,0,7.47,AU,2023-04-06
77,cabra,37.4725,-4.4421,16.02,31,54,0.95,ES,2023-04-06
78,nouadhibou,20.931,-17.0347,17.99,77,0,7.2,MR,2023-04-06
79,kuusamo,65.9667,29.1833,3.02,44,0,1.03,FI,2023-04-06
80,yarmouth,41.7057,-70.2286,8.31,98,100,2.06,US,2023-04-06
81,cape coast,5.1053,-1.2466,28.57,72,92,2.82,GH,2023-04-06
82,homer,59.6425,-151.5483,-0.06,77,0,6.69,US,2023-04-06
83,nautanwa,27.4333,83.4167,36.69,8,44,3.21,IN,2023-04-06
84,palmer,42.1584,-72.3287,5.84,100,100,1.54,US,2023-04-06
85,fortuna,40.5982,-124.1573,8.7,83,100,3.13,US,2023-04-06
86,vardo,70.3705,31.1107,1.99,75,20,10.8,NO,2023-04-06
87,cabo san lucas,22.8909,-109.9124,19.73,76,3,2.09,MX,2023-04-06
88,leningradskiy,69.3833,178.4167,-28.21,98,10,2.95,RU,2023-04-06
89,mahebourg,-20.4081,57.7,30.16,66,40,4.63,MU,2023-04-06
90,yellowknife,62.456,-114.3525,-3.71,74,40,5.14,CA,2023-04-06
91,kirakira,-10.4544,161.9205,27.1,81,100,1.13,SB,2023-04-06
92,preobrazheniye,42.9019,133.9064,3.91,96,100,2.03,RU,2023-04-06
93,airai,-8.9266,125.4092,17.25,92,100,0.84,TL,2023-04-06
94,saldanha,-33.0117,17.9442,24.19,45,61,1.57,ZA,2023-04-06
95,lebu,-37.6167,-73.65,12.98,92,100,5.95,CL,2023-04-06
96,mataura,-46.1927,168.8643,6.19,72,82,1.67,NZ,2023-04-06
97,henties bay,-22.116,14.2845,20.32,71,5,3.96,NA,2023-04-06
98,jamestown,42.097,-79.2353,14.77,87,100,8.75,US,2023-04-06
99,samarai,-10.6167,150.6667,28.89,77,83,4.78,PG,2023-04-06
100,cidreira,-30.1811,-50.2056,21.16,72,100,5.66,BR,2023-04-06
101,mar del plata,-38.0023,-57.5575,19.37,78,0,7.15,AR,2023-04-06
102,grindavik,63.8424,-22.4338,2.97,93,40,4.12,IS,2023-04-06
103,diamantino,-14.4086,-56.4461,20.9,99,100,1.64,BR,2023-04-06
104,sitka,57.0531,-135.33,6.94,61,100,7.72,US,2023-04-06
105,kirensk,57.7853,108.1119,-1.95,81,100,5.04,RU,2023-04-06
106,mandera,3.9366,41.867,33.12,42,95,3.32,KE,2023-04-06
107,ahipara,-35.1667,173.1667,15.84,90,100,6.97,NZ,2023-04-06
108,carnarvon,-24.8667,113.6333,24.8,56,0,7.49,AU,2023-04-06
109,kodiak,57.79,-152.4072,0.73,69,75,2.06,US,2023-04-06
110,kizukuri,40.8061,140.3861,16.64,79,100,6.6,JP,2023-04-06
111,puerto ayora,-0.7393,-90.3518,23.64,99,97,1.79,EC,2023-04-06
112,jalu,29.0331,21.5482,27.89,12,76,9.58,LY,2023-04-06
113,lompoc,34.6391,-120.4579,6.44,91,0,2.06,US,2023-04-06
114,aleksandrovsk-sakhalinskiy,50.8975,142.1561,2.24,85,100,3.42,RU,2023-04-06
115,ancud,-41.8697,-73.8203,10.63,84,100,2.29,CL,2023-04-06
116,zeya,53.75,127.2667,-3.78,87,100,4.9,RU,2023-04-06
117,pochutla,15.7432,-96.4661,24.34,79,0,2.01,MX,2023-04-06
118,gonbad-e qabus,37.25,55.1672,24.95,41,75,5.14,IR,2023-04-06
119,ust-kuyga,70.0167,135.6,-16.64,96,100,0.42,RU,2023-04-06
120,saint-philippe,-21.3585,55.7679,29.77,79,90,3.75,RE,2023-04-06
121,hithadhoo,-0.6,73.0833,28.42,68,6,2.83,MV,2023-04-06
122,vung tau,10.346,107.0843,28.67,71,10,7.09,VN,2023-04-06
123,kapaa,22.0752,-159.319,23.18,87,75,8.23,US,2023-04-06
124,pisco,-13.7,-76.2167,23.03,83,0,4.63,PE,2023-04-06
125,port elizabeth,-33.918,25.5701,32.28,54,0,3.6,ZA,2023-04-06
126,faanui,-16.4833,-151.75,28.19,74,9,5.21,PF,2023-04-06
127,port said,31.2565,32.2841,18.99,68,0,1.03,EG,2023-04-06
128,sinazongwe,-17.2614,27.4618,25.88,62,93,4.85,ZM,2023-04-06
129,bhainsdehi,21.6467,77.6325,32.92,15,47,3.0,IN,2023-04-06
130,longyearbyen,78.2186,15.6401,-2.09,86,75,2.57,SJ,2023-04-06
131,clyde river,70.4692,-68.5914,-26.87,76,20,2.06,CA,2023-04-06
132,esmeraldas,-19.7625,-44.3139,21.48,93,21,1.52,BR,2023-04-06
133,dwarka,22.2394,68.9678,28.05,50,46,4.91,IN,2023-04-06
134,ginda,30.6945,78.4932,20.95,20,2,3.19,IN,2023-04-06
135,alanya,36.5438,31.9998,18.07,62,2,3.12,TR,2023-04-06
136,thinadhoo,0.5333,72.9333,28.45,66,8,2.63,MV,2023-04-06
137,sorong,-0.8833,131.25,26.87,77,100,3.67,ID,2023-04-06
138,ribeira grande,38.5167,-28.7,15.99,82,75,5.66,PT,2023-04-06
139,fort-shevchenko,44.5086,50.263,13.72,57,90,1.87,KZ,2023-04-06
140,tuatapere,-46.1333,167.6833,6.58,77,70,2.39,NZ,2023-04-06
141,ola,59.5833,151.2833,-6.03,96,100,1.5,RU,2023-04-06
142,dandong,40.1292,124.3947,13.1,30,50,3.44,CN,2023-04-06
143,jati,24.3539,68.2671,35.09,14,0,3.55,PK,2023-04-06
144,amapa,1.0,-52.0,19.18,99,100,0.94,BR,2023-04-06
145,mangrol,21.1167,70.1167,29.6,44,76,4.81,IN,2023-04-06
146,tiksi,71.6872,128.8694,-20.38,90,92,2.68,RU,2023-04-06
147,olafsvik,64.8945,-23.7142,4.26,75,58,4.52,IS,2023-04-06
148,maceio,-9.6658,-35.7353,23.69,94,40,1.54,BR,2023-04-06
149,labuhan,-6.8844,112.2051,29.39,70,40,2.52,ID,2023-04-06
150,oeiras do para,-2.0031,-49.8544,22.71,99,100,1.81,BR,2023-04-06
151,belmonte,-15.8631,-38.8828,23.22,90,41,1.56,BR,2023-04-06
152,san andres,12.5847,-81.7006,27.01,74,40,4.12,CO,2023-04-06
153,winslow,35.0242,-110.6974,-2.9,33,0,0.0,US,2023-04-06
154,tatarani,45.0,25.2667,7.06,55,100,2.41,RO,2023-04-06
155,rio gallegos,-51.6226,-69.2181,4.03,70,0,2.06,AR,2023-04-06
156,jiangyou,31.7667,104.7167,17.67,43,96,4.18,CN,2023-04-06
157,abtenau,47.5637,13.346,6.65,51,7,1.23,AT,2023-04-06
158,thompson,55.7435,-97.8558,-9.91,62,75,3.6,CA,2023-04-06
159,suntar,62.1444,117.6319,-5.21,93,100,3.85,RU,2023-04-06
160,aracuai,-16.8497,-42.0703,19.06,95,13,1.11,BR,2023-04-06
161,arona,28.0996,-16.681,18.4,58,0,2.57,ES,2023-04-06
162,santa cruz cabralia,-16.2781,-39.0247,23.13,100,40,1.54,BR,2023-04-06
163,okhotsk,59.3833,143.3,-11.16,72,4,6.18,RU,2023-04-06
164,saskylakh,71.9167,114.0833,-18.27,94,100,3.16,RU,2023-04-06
165,bethel,41.3712,-73.414,9.32,88,100,2.06,US,2023-04-06
166,los llanos de aridane,28.6585,-17.9182,16.86,77,0,3.09,ES,2023-04-06
167,salalah,17.0151,54.0924,30.05,58,0,5.14,OM,2023-04-06
168,kita,13.0349,-9.4895,32.58,8,95,0.49,ML,2023-04-06
169,wundanyi,-3.4019,38.364,24.94,46,74,2.01,KE,2023-04-06
170,doha,25.2867,51.5333,30.17,43,0,3.09,QA,2023-04-06
171,bambous virieux,-20.3428,57.7575,30.14,66,40,4.63,MU,2023-04-06
172,rajgarh,28.6333,75.3833,33.08,17,4,5.34,IN,2023-04-06
173,puerto escondido,15.85,-97.0667,24.88,80,0,3.2,MX,2023-04-06
174,great falls,47.5002,-111.3008,-0.18,70,0,6.69,US,2023-04-06
175,dakar,14.6937,-17.4441,22.07,88,0,5.14,SN,2023-04-06
176,turukhansk,65.8167,87.9833,-15.58,79,80,9.85,RU,2023-04-06
177,souillac,-20.5167,57.5167,30.21,66,40,4.63,MU,2023-04-06
178,diapaga,12.0708,1.7889,33.85,36,69,3.87,BF,2023-04-06
179,tuy hoa,13.0833,109.3,29.69,68,49,6.39,VN,2023-04-06
180,port hawkesbury,45.6169,-61.3485,-2.23,95,100,2.06,CA,2023-04-06
181,qandala,11.472,49.8728,30.99,51,10,3.82,SO,2023-04-06
182,starogard gdanski,53.964,18.5264,4.92,100,100,3.23,PL,2023-04-06
183,iranshahr,27.2025,60.6848,31.19,14,20,0.0,IR,2023-04-06
184,spasskoye,44.6108,132.7969,3.21,94,100,2.17,RU,2023-04-06
185,nelson bay,-32.7167,152.15,21.11,84,89,1.79,AU,2023-04-06
186,cherskiy,68.75,161.3,-13.03,89,31,1.65,RU,2023-04-06
187,narsaq,60.9167,-46.05,-0.88,87,90,2.08,GL,2023-04-06
188,agropoli,40.3469,14.9966,12.15,50,6,0.98,IT,2023-04-06
189,belaya gora,68.5333,146.4167,-13.72,92,100,6.09,RU,2023-04-06
190,chuy,-33.6971,-53.4616,16.8,70,100,3.03,UY,2023-04-06
191,calama,-22.4667,-68.9333,9.27,76,0,4.63,CL,2023-04-06
192,sumter,28.7086,-82.0831,21.97,88,100,2.8,US,2023-04-06
193,elliot lake,46.3834,-82.6331,-2.96,86,79,6.23,CA,2023-04-06
194,lunavada,23.1333,73.6167,37.17,15,4,3.66,IN,2023-04-06
195,bonavista,48.6499,-53.1147,-4.71,82,8,8.12,CA,2023-04-06
196,concordia,-31.393,-58.0209,18.77,89,91,1.79,AR,2023-04-06
197,mokrousovo,55.8103,66.7653,13.72,59,62,6.04,RU,2023-04-06
198,marsa matruh,31.3525,27.2453,18.11,59,0,4.12,EG,2023-04-06
199,alugan,12.2188,125.4808,26.27,81,100,4.53,PH,2023-04-06
200,choix,26.7092,-108.3219,14.69,27,2,1.98,MX,2023-04-06
201,chokurdakh,70.6333,147.9167,-19.15,98,88,2.07,RU,2023-04-06
202,libertad,8.9442,125.5019,25.97,74,99,2.41,PH,2023-04-06
203,tura,25.5198,90.2201,32.35,17,0,4.18,IN,2023-04-06
204,hualmay,-11.0964,-77.6139,24.4,83,2,4.16,PE,2023-04-06
205,whitianga,-36.8333,175.7,14.72,93,100,6.0,NZ,2023-04-06
206,talcahuano,-36.7167,-73.1167,13.82,100,100,2.06,CL,2023-04-06
207,la paz,-16.5,-68.15,5.99,81,75,2.06,BO,2023-04-06
208,tingi,-11.3,35.0333,17.38,95,100,1.28,TZ,2023-04-06
209,ternate,0.8,127.4,27.2,78,80,4.24,ID,2023-04-06
210,waipawa,-41.4122,175.5153,12.03,93,100,5.18,NZ,2023-04-06
211,wald-michelbach,49.57,8.8317,10.77,52,45,2.67,DE,2023-04-06
212,oranjemund,-28.55,16.4333,23.64,53,42,2.99,NA,2023-04-06
213,meulaboh,4.1363,96.1285,28.57,71,87,3.41,ID,2023-04-06
214,porbandar,21.6422,69.6093,29.53,44,85,4.51,IN,2023-04-06
215,torbay,47.6666,-52.7314,-4.12,78,75,7.2,CA,2023-04-06
216,balkhash,46.844,74.9804,16.34,16,0,3.0,KZ,2023-04-06
217,kolyshley,52.7005,44.5367,16.04,39,100,5.06,RU,2023-04-06
218,progreso,21.2833,-89.6667,25.06,83,100,5.0,MX,2023-04-06
219,dale,38.1689,-86.99,10.25,76,100,4.12,US,2023-04-06
220,sri aman,1.2376,111.4621,26.03,94,20,1.54,MY,2023-04-06
221,marsh harbour,26.5412,-77.0636,24.0,77,1,6.97,BS,2023-04-06
222,talnakh,69.4865,88.3972,-28.22,93,38,7.18,RU,2023-04-06
223,kurchum,48.5722,83.6542,13.1,24,0,6.88,KZ,2023-04-06
224,buraydah,26.326,43.975,30.25,15,95,6.21,SA,2023-04-06
225,neiafu,-18.65,-173.9833,27.46,81,17,6.03,TO,2023-04-06
226,sipoo,60.3775,25.2691,4.96,81,75,5.14,FI,2023-04-06
227,dukat,62.55,155.55,-17.6,100,84,1.5,RU,2023-04-06
228,san patricio,28.017,-97.5169,16.92,84,100,6.26,US,2023-04-06
229,yamada,39.4667,141.95,13.36,84,100,3.92,JP,2023-04-06
230,grand forks,47.9417,-97.4337,-6.15,79,100,6.69,US,2023-04-06
231,orizari,41.9228,22.4469,7.67,51,17,2.27,MK,2023-04-06
232,hami,42.8,93.45,13.27,11,0,2.68,CN,2023-04-06
233,mandalgovi,45.7625,106.2708,-1.35,22,0,4.59,MN,2023-04-06
234,albina,5.5,-54.05,21.14,82,74,0.82,SR,2023-04-06
235,grand-lahou,5.1367,-5.0242,28.96,71,38,2.48,CI,2023-04-06
236,sari,36.5633,53.0601,19.77,68,20,5.14,IR,2023-04-06
237,timbiqui,2.7717,-77.6654,23.15,94,100,1.91,CO,2023-04-06
238,khani,41.9563,42.9566,7.76,75,96,1.59,GE,2023-04-06
239,khatanga,71.9667,102.5,-22.56,86,100,3.62,RU,2023-04-06
240,celestun,20.8667,-90.4,24.82,82,79,7.18,MX,2023-04-06
241,krasnokamensk,50.0979,118.0369,-2.8,42,100,10.72,RU,2023-04-06
242,key west,24.5557,-81.7826,26.67,75,40,8.75,US,2023-04-06
243,daru,-9.0763,143.2092,27.4,82,92,3.51,PG,2023-04-06
244,domoni,-12.2569,44.5319,28.09,76,64,0.54,KM,2023-04-06
245,necochea,-38.5473,-58.7368,14.35,82,3,5.32,AR,2023-04-06
246,nanortalik,60.1432,-45.2371,-1.69,92,100,1.64,GL,2023-04-06
247,lagunas,-5.2269,-75.6753,21.71,98,100,0.71,PE,2023-04-06
248,hibbing,47.4272,-92.9377,-7.22,90,100,6.08,US,2023-04-06
249,cabedelo,-6.9811,-34.8339,24.37,77,50,4.22,BR,2023-04-06
250,isangel,-19.55,169.2667,26.85,82,0,4.86,VU,2023-04-06
251,zhangye,38.9342,100.4517,10.58,13,29,4.83,CN,2023-04-06
252,helong,42.5397,128.9972,5.96,89,100,1.09,CN,2023-04-06
253,clinton,42.587,-82.9199,7.06,72,0,5.66,US,2023-04-06
254,anadyr,64.75,177.4833,-14.72,85,100,2.0,RU,2023-04-06
255,matagami,49.7502,-77.6328,-0.94,93,100,5.66,CA,2023-04-06
256,padang,-0.9492,100.3543,30.03,69,90,2.12,ID,2023-04-06
257,gorontalo,0.5412,123.0595,25.91,92,99,2.03,ID,2023-04-06
258,gamba,-2.65,10.0,28.71,74,100,2.7,GA,2023-04-06
259,dingle,10.9995,122.6711,28.49,64,100,4.08,PH,2023-04-06
260,hasaki,35.7333,140.8333,19.56,75,13,13.09,JP,2023-04-06
261,kulhudhuffushi,6.6221,73.07,28.34,70,3,3.13,MV,2023-04-06
262,sistranda,63.7256,8.834,5.98,72,2,4.01,NO,2023-04-06
263,san rafael,-34.6177,-68.3301,19.01,64,99,2.62,AR,2023-04-06
264,plettenberg bay,-34.0527,23.3716,29.79,31,0,1.33,ZA,2023-04-06
265,sorsk,54.0033,90.2467,10.26,24,88,3.01,RU,2023-04-06
266,casa grande,32.8795,-111.7573,11.13,34,0,1.54,US,2023-04-06
267,norman wells,65.282,-126.8329,-15.98,85,40,1.54,CA,2023-04-06
268,tilichiki,60.4667,166.1,-4.98,96,100,3.68,RU,2023-04-06
269,kahului,20.8947,-156.47,23.8,74,0,8.75,US,2023-04-06
270,obuasi,6.206,-1.6619,28.81,63,74,1.5,GH,2023-04-06
271,nabire,-3.3667,135.4833,24.53,88,100,0.71,ID,2023-04-06
272,mayo,38.8876,-76.5119,23.09,84,0,2.57,US,2023-04-06
273,ponta do sol,32.6667,-17.1,19.51,45,3,2.25,PT,2023-04-06
274,ensley,30.5188,-87.2728,22.94,96,100,3.09,US,2023-04-06
275,namibe,-15.1961,12.1522,27.76,74,81,3.31,AO,2023-04-06
276,port blair,11.6667,92.75,32.02,55,20,2.06,IN,2023-04-06
277,mahanoro,-19.9,48.8,26.48,77,100,0.89,MG,2023-04-06
278,phalodi,27.1333,72.3667,34.14,11,2,0.84,IN,2023-04-06
279,novo aripuana,-5.1206,-60.3797,22.24,99,100,1.06,BR,2023-04-06
280,manokwari,-0.8667,134.0833,25.59,81,100,1.35,ID,2023-04-06
281,qaqortoq,60.7167,-46.0333,-2.74,91,91,1.71,GL,2023-04-06
282,faaborg,55.0951,10.2423,7.0,69,96,5.45,DK,2023-04-06
